14.25,-0.064
14.3,-0.0583
14.35,-0.0531
14.4,-0.0487
14.45,-0.0451
14.5,-0.0424
14.55,-0.0407
14.6,-0.04
14.65,-0.0403
14.7,-0.0415
14.75,-0.0438
14.8,-0.0468
14.85,-0.0507
14.9,-0.0554
14.95,-0.0608
15,-0.0665
15.05,-0.0728
15.1,-0.0792
15.15,-0.0857
15.2,-0.0923
15.25,-0.0986
15.3,-0.1045
15.35,-0.11
15.4,-0.115
15.45,-0.1191
15.5,-0.1225
15.55,-0.1249
15.6,-0.1265
15.65,-0.1271
15.7,-0.1267
15.75,-0.1254
15.8,-0.1231
15.85,-0.12
15.9,-0.1162
15.95,-0.1117
16,-0.1066
16.05,-0.101
16.1,-0.0951
16.15,-0.0889
16.2,-0.0827
16.25,-0.0765
16.3,-0.0706
16.35,-0.065
16.4,-0.0599
16.45,-0.0554
16.5,-0.0515
16.55,-0.0485
16.6,-0.0462
16.65,-0.0449
16.7,-0.0444
16.75,-0.0449
16.8,-0.0461
16.85,-0.0483
16.9,-0.0512
16.95,-0.0548
17,-0.0592
17.05,-0.064
17.1,-0.0694
17.15,-0.0749
17.2,-0.0808
17.25,-0.0867
17.3,-0.0925
17.35,-0.0981
17.4,-0.1034
17.45,-0.1082
17.5,-0.1124
17.55,-0.1162
17.6,-0.119
17.65,-0.121
17.7,-0.1222
17.75,-0.1225
17.8,-0.1217
17.85,-0.1202
17.9,-0.1179
17.95,-0.1147
18,-0.111
18.05,-0.1067
18.1,-0.1019
18.15,-0.0968
18.2,-0.0913
18.25,-0.0857
18.3,-0.0803
18.35,-0.0748
18.4,-0.0696
18.45,-0.0649
18.5,-0.0606
18.55,-0.0568
18.6,-0.0537
18.65,-0.0513
18.7,-0.0497
18.75,-0.0489
18.8,-0.0487
18.85,-0.0495
18.9,-0.0508
18.95,-0.053
19,-0.0558
19.05,-0.0592
19.1,-0.0633
19.15,-0.0677
19.2,-0.0725
19.25,-0.0776
19.3,-0.0828
19.35,-0.088
19.4,-0.0933
19.45,-0.0982
19.5,-0.1028
19.55,-0.107
19.6,-0.1106
19.65,-0.1136
19.7,-0.1159
19.75,-0.1176
19.8,-0.1184
19.85,-0.1186
19.9,-0.1181
19.95,-0.1168
20,-0.1148
20.05,-0.1122
20.1,-0.109
20.15,-0.1053
20.2,-0.1011
20.25,-0.0965
20.3,-0.0917
20.35,-0.0868
20.4,-0.0819
20.45,-0.077
20.5,-0.0723
20.55,-0.068
20.6,-0.064
20.65,-0.0606
20.7,-0.0577
20.75,-0.0554
20.8,-0.0538
20.85,-0.053
20.9,-0.0527
20.95,-0.0532
21,-0.0543
21.05,-0.0561
21.1,-0.0586
21.15,-0.0615
21.2,-0.065
21.25,-0.0689
21.3,-0.0731
21.35,-0.0776
21.4,-0.0823
21.45,-0.0871
21.5,-0.0916
21.55,-0.096
21.6,-0.1002
21.65,-0.104
21.7,-0.1073
21.75,-0.11
21.8,-0.1122
21.85,-0.1137
21.9,-0.1147
21.95,-0.1148
22,-0.1144
22.05,-0.1133
22.1,-0.1114
22.15,-0.1091
22.2,-0.1063
22.25,-0.1031
22.3,-0.0993
22.35,-0.0953
22.4,-0.0911
22.45,-0.0867
22.5,-0.0823
22.55,-0.0781
22.6,-0.074
22.65,-0.0701
22.7,-0.0667
22.75,-0.0637
22.8,-0.0611
22.85,-0.0591
22.9,-0.0577
22.95,-0.0569
23,-0.0568
23.05,-0.0572
23.1,-0.0582
23.15,-0.0599
23.2,-0.0621
23.25,-0.0648
23.3,-0.0679
23.35,-0.0713
23.4,-0.0751
23.45,-0.0791
23.5,-0.0831
23.55,-0.0871
23.6,-0.0912
23.65,-0.0949
23.7,-0.0986
23.75,-0.1019
23.8,-0.1045
23.85,-0.107
23.9,-0.1087
23.95,-0.11
24,-0.1105
24.05,-0.1105
24.1,-0.1099
24.15,-0.1087
24.2,-0.1068
24.25,-0.1045
24.3,-0.1019
24.35,-0.0988
24.4,-0.0954
24.45,-0.0918
24.5,-0.088
24.55,-0.0843
24.6,-0.0806
24.65,-0.077
24.7,-0.0736
24.75,-0.0705
24.8,-0.0677
24.85,-0.0652
24.9,-0.0634
24.95,-0.062
25,-0.0611
25.05,-0.0606
25.1,-0.0609
